houseTypes,area,num_floors,bedrooms,address,price,url
Bán Nhà riêng,53,2,2,"Quận 12, TP Hồ Chí Minh",4,https://batdongsan.vn/0988546953-r268463
Bán Nhà riêng,64,2,3,"Quận 12, TP Hồ Chí Minh",4,https://batdongsan.vn/ban-nha-phan-van-hon-quan-12-64m-xe-tai-gia-chi-nhinh-4-ty-r268462
Bán Nhà riêng,60,,2,"Quận 12, TP Hồ Chí Minh",4,https://batdongsan.vn/ban-nha-ttn5-quan-12-60m-chi-nhinh-35-ty-r268460
Bán Nhà riêng,42,5,3,"Lê Chân, Hải Phòng",3.2,https://batdongsan.vn/ban-nha-213-thien-loi-cho-don-o-to-xe-may-do-vai-chuc-chiec-ngo-rong-kinh-doanh-buon-ban-tuyet-voi-r268459
Bán Nhà mặt phố,65,,,"Quận 11, TP Hồ Chí Minh",4.8,https://batdongsan.vn/goc-2-mat-tien-lac-long-quan-q11-ngay-dam-sen-hxh-65m2-chi-nhinh-4-ty-r268458
Bán Nhà riêng,36,4,,"Hà Đông, Hà Nội",2.7,https://batdongsan.vn/ban-nha-da-sy-ha-dong-giao-thong-thuan-tien-36m-4-tang-4-ngu-gia-chi-27-ty-0962780005-r268457
Bán Nhà riêng,38,1,2,"Tân Phú, TP Hồ Chí Minh",4.1,https://batdongsan.vn/phu-tho-hoa-tan-phu-so-vuong-vuc-hoan-cong-du-nhinh-4-ty-r268456
Bán Nhà riêng,35,4,4,"Hà Đông, Hà Nội",3.4,https://batdongsan.vn/ban-nha-pho-an-ninh-tot-tien-giao-thong-cau-do-ha-cau-ha-dong-35m-4-tang-chi-34-ty-0962780005-r268455
Bán Nhà riêng,51,,,"Hà Đông, Hà Nội",4.95,https://batdongsan.vn/ban-dat-phan-lo-o-to-tranh-kinh-doanh-khu-dau-gia-man-boi-goc-gang-ha-dong-51m-gia-chi-495-ty-0962780005-r268454
Bán Nhà riêng,35,4,4,"Hà Đông, Hà Nội",6.65,https://batdongsan.vn/ban-nha-o-to-tranh-kinh-doanh-van-phuc-ha-dong-35m-4-tang-gia-chi-665-ty-0962780005-r268453
Bán Nhà riêng,49,4,,"Hà Đông, Hà Nội",5.8,https://batdongsan.vn/ban-nha-o-to-do-kinh-doanh-le-loi-ha-dong-49m-4-tang-ngu-4-gia-chi-58-ty-lh-0962780005-r268452
Bán Nhà riêng,57,7,,"Hà Đông, Hà Nội",9.1,https://batdongsan.vn/ban-nha-tran-phu-ha-dong-57m-7-tang-17-phong-full-do-gia-chi-91-ty-lh-0962780005-r268451
